원본변수코드,Factor1,Factor2,주요요인,최대적재
Q16_7,0.7707991432396165,0.268981096494478,Factor1,0.7707991432396165
Q16_9,0.7894472924772254,0.3237381112622416,Factor1,0.7894472924772254
Q16_11,0.7789998614580367,0.35061905650808306,Factor1,0.7789998614580367
Q16_13,0.6201043776849083,0.4646775412865837,Factor1,0.6201043776849083
Q16_8,0.7735661439063337,0.31550641489867853,Factor1,0.7735661439063337
Q16_10,0.7430379891736165,0.39965475882507706,Factor1,0.7430379891736165
Q16_12,0.7336019510435201,0.4095383655532864,Factor1,0.7336019510435201
Q16_14,0.3428238979386409,0.779530144164406,Factor2,0.779530144164406
Q16_16,0.4058674742023045,0.7876887205300876,Factor2,0.7876887205300876
Q16_17,0.5014119248452461,0.5075731798907979,Factor2,0.5075731798907979
Q16_18,0.30155481926977235,0.8319363858743792,Factor2,0.8319363858743792
