,F1,F2
Q16_2_1,0.2343989198578525,0.7568343835935298
Q16_2_2,0.22000907561110175,0.8139741036142859
Q16_2_3,0.22107610141655845,0.825241624911906
Q16_2_4,0.16322612955590898,0.846882992151281
Q16_2_5,0.18500175775078834,0.8936056671839689
Q16_2_6,0.16688069845002806,0.8976555540101588
Q16_2_7,0.16209330414530249,0.8892235628705603
Q17_1,0.7008053927975355,0.1951337820864348
Q17_2,0.7223669179573942,0.1924718818355923
Q17_3,0.6947318963967927,0.16686772974798436
Q17_9,0.702640635707944,0.15830795361093922
Q17_10,0.7366814948914376,0.1834342821632828
Q17_12,0.7469941868170406,0.19341118964585477
Q17_13,0.6797618374857439,0.13870125850665035
Q17_15,0.7482816901751599,0.17563319977835293
Q17_16,0.6607352821130257,0.19756247265170948
Q17_17,0.7604339671202562,0.19031563874083712
Q18_1,0.7635965977097106,0.18692488429256554
Q18_2,0.7443385383686995,0.16529213265370374
Q18_3,0.7744122848857312,0.16403977061693062
Q18_4,0.7985136761659098,0.18699947924311805
Q22_2,0.40603242388740174,0.18444775382089995
